STT,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Brenden Aaronson,USA,"MF,FW",Leeds United,25-201,2000,24.9,2,0,0,19,48,5,36,17,23,N/a,N/a,0,Matches
2,Zach Abbott,ENG,DF,Nottingham Forest,19-363,2006,1.8,0,0,0,3,1,0,3,2,4,N/a,N/a,0,Matches
3,Tammy Abraham,ENG,FW,Aston Villa,28-221,1997,3.2,0,0,0,2,0,0,1,0,1,N/a,N/a,0,Matches
4,Joshua Acheampong,ENG,DF,Chelsea,20-006,2006,6.5,1,0,0,2,5,2,1,11,7,N/a,N/a,0,Matches
5,Tyler Adams,USA,MF,Bournemouth,27-086,1999,17.7,7,0,0,32,12,1,3,27,20,N/a,N/a,0,Matches
6,Tosin Adarabioyo,ENG,DF,Chelsea,28-229,1997,8.8,2,0,0,6,0,1,0,9,6,N/a,N/a,0,Matches
7,Simon Adingra,CIV,"MF,FW",Sunderland,24-130,2002,7.3,2,0,0,18,3,4,27,2,8,N/a,N/a,0,Matches
8,Amine Adli,MAR,MF,Bournemouth,26-001,2000,12.0,2,0,0,29,23,5,39,5,16,N/a,N/a,0,Matches
9,Emmanuel Agbadou,CIV,DF,Wolves,28-328,1997,12.2,1,1,0,10,5,1,13,14,21,N/a,N/a,0,Matches
10,Nayef Aguerd,MAR,DF,West Ham United,30-042,1996,2.0,0,0,0,0,1,0,2,1,0,N/a,N/a,0,Matches
11,Ola Aina,NGA,DF,Nottingham Forest,29-215,1996,17.6,3,0,0,13,15,0,39,26,21,N/a,N/a,0,Matches
12,Rayan Aït-Nouri,ALG,DF,Manchester City,24-339,2001,9.7,2,0,0,13,9,0,19,13,20,N/a,N/a,0,Matches
13,Kristoffer Ajer,NOR,DF,Brentford,28-024,1998,19.2,4,0,0,23,5,0,7,13,22,N/a,N/a,0,Matches
14,Nathan Aké,NED,DF,Manchester City,31-082,1995,6.5,1,0,0,2,8,1,4,5,6,N/a,N/a,0,Matches
15,Carlos Alcaraz,ARG,MF,Everton,23-162,2002,7.6,4,0,0,9,11,1,5,2,8,N/a,N/a,0,Matches
16,Omar Alderete,PAR,DF,Sunderland,29-136,1996,30.8,6,0,0,34,10,5,11,36,18,N/a,N/a,0,Matches
17,Alisson,BRA,GK,Liverpool,33-221,1992,25.0,1,0,0,1,7,0,0,0,0,N/a,N/a,0,Matches
18,Max Alleyne,ENG,DF,Manchester City,20-294,2005,1.5,0,0,0,0,0,0,0,3,3,N/a,N/a,0,Matches
19,Ethan Ampadu,WAL,MF,Leeds United,25-239,2000,31.7,9,0,0,45,33,0,24,47,43,N/a,N/a,0,Matches
20,Joachim Andersen,DEN,DF,Fulham,29-345,1996,31.9,7,1,0,30,13,0,15,34,26,N/a,N/a,0,Matches
21,Elliot Anderson,ENG,MF,Nottingham Forest,23-186,2002,35.3,7,0,0,54,76,2,168,38,57,N/a,N/a,0,Matches
22,André,BRA,MF,Wolves,24-299,2001,28.7,11,0,0,41,40,0,40,23,39,N/a,N/a,0,Matches
23,Nilson Angulo,ECU,MF,Sunderland,22-326,2003,3.0,0,0,0,7,2,1,7,2,5,N/a,N/a,0,Matches
24,Jaidon Anthony,ENG,MF,Burnley,26-161,1999,28.3,4,0,0,22,43,9,71,16,21,N/a,N/a,0,Matches
25,Alphonse Areola,FRA,GK,West Ham United,33-073,1993,20.0,0,0,0,1,1,0,0,1,0,N/a,N/a,0,Matches
26,Jhon Arias,COL,"FW,MF",Wolves,28-232,1997,12.5,1,0,0,26,9,3,30,7,27,N/a,N/a,0,Matches
27,Adam Armstrong,ENG,"FW,MF",Wolves,29-090,1997,11.1,3,0,0,11,3,4,4,1,3,N/a,N/a,0,Matches
28,Harrison Armstrong,ENG,MF,Everton,19-112,2007,5.6,0,0,0,6,15,2,2,4,10,N/a,N/a,0,Matches
29,Tolu Arokodare,NGA,FW,Wolves,25-169,2000,15.3,1,0,0,18,16,6,0,5,3,N/a,N/a,0,Matches
30,Taiwo Awoniyi,NGA,FW,Nottingham Forest,28-272,1997,4.9,1,0,0,9,6,4,1,1,1,N/a,N/a,0,Matches
31,Yasin Ayari,SWE,MF,Brighton,22-217,2003,21.3,1,0,0,24,28,0,23,25,25,N/a,N/a,0,Matches
32,Benoît Badiashile,FRA,DF,Chelsea,25-046,2001,5.2,2,0,0,6,2,0,0,9,5,N/a,N/a,0,Matches
33,Leon Bailey,JAM,MF,Aston Villa,28-275,1997,4.1,1,0,0,5,4,1,17,1,4,N/a,N/a,0,Matches
34,Dilane Bakwa,FRA,MF,Nottingham Forest,23-258,2002,5.9,1,0,0,9,13,0,34,0,3,N/a,N/a,0,Matches
35,Carlos Baleba,CMR,MF,Brighton,22-128,2004,17.1,5,0,0,30,19,0,0,28,20,N/a,N/a,0,Matches
36,Daniel Ballard,NIR,DF,Sunderland,26-231,1999,23.9,4,1,0,29,29,3,1,20,17,N/a,N/a,0,Matches
37,Ross Barkley,ENG,MF,Aston Villa,32-157,1993,8.1,1,0,0,8,7,0,0,2,9,N/a,N/a,0,Matches
38,Harvey Barnes,ENG,"FW,MF",Newcastle United,28-153,1997,20.5,1,0,0,17,23,3,73,3,5,N/a,N/a,0,Matches
39,Thierno Barry,FRA,FW,Everton,23-202,2002,20.1,3,0,0,41,8,13,4,5,4,N/a,N/a,0,Matches
40,Calvin Bassey,NGA,DF,Fulham,26-131,1999,26.2,5,0,0,27,36,1,14,19,28,N/a,N/a,0,Matches
41,Altay Bayındır,TUR,GK,Manchester Utd,28-027,1998,6.0,0,0,0,0,3,0,0,0,0,N/a,N/a,0,Matches
42,Jean-Ricner Bellegarde,HAI,"MF,FW",Wolves,27-318,1998,13.7,5,0,0,19,41,0,25,9,15,N/a,N/a,0,Matches
43,Rodrigo Bentancur,URU,MF,Tottenham Hotspur,28-320,1997,18.1,7,0,0,17,4,1,7,30,29,N/a,N/a,0,Matches
44,Daniel Bentley,ENG,GK,Wolves,32-302,1993,3.0,0,0,0,0,2,0,0,0,0,N/a,N/a,0,Matches
45,Sander Berge,NOR,MF,Fulham,28-086,1998,30.8,5,0,0,32,14,1,12,25,40,N/a,N/a,1,Matches
